Year1,Year2,Difference,,So luong bao,Year distance,,,,Year,Yield,So luong,Scale,Duration,Distance,,Scale,Yield,Duration,Season,Distance,Year
2018,2017,1,,,1,,,,,,,,,,,,,,,,
2019,2000,8.6,,,19,,,,,,,,,,,,,,,,
2019,2001,9.8,,,18,,,,,,,,,,,,,,,,
2019,2002,6.9,,,17,,,,,,,,,,,,,,,,
2019,2003,6.3,,,16,,,,,,,,,,,,,,,,
2019,2004,3.4,,,15,,,,,,,,,,,,,,,,
2019,2005,4,,,14,,,,,,,,,,,,,,,,
2019,2006,2.8,,,13,,,,,,,,,,,,,,,,
2019,2007,6.8,,,12,,,,,,,,,,,,,,,,
2019,2008,2.2,,,11,,,,,,,,,,,,,,,,
2019,2009,2.1,,,10,,,,,,,,,,,,,,,,
2019,2010,5,,,9,,,,,,,,,,,,,,,,
2019,2011,0.7,,,8,,,,,,,,,,,,,,,,
2019,2012,0.9,,,7,,,,,,,,,,,,,,,,
2019,2013,2.9,,,6,,,,,,,,,,,,,,,,
2019,2014,-1.2,,,5,,,,,,,,,,,,,,,,
2019,2015,-0.9,,,4,,,,,,,,,,,,,,,,
2019,2016,-1.2,,,3,,,,,,,,,,,,,,,,
2019,2017,-1.4,,,2,,,,,,,,,,,,,,,,
2019,2018,-2.4,,,1,,,,,,,,,,,,,,,,
2020,2000,10,,,20,,,,,,,,,,,,,,,,
2020,2001,11.2,,,19,,,,,,,,,,,,,,,,
2020,2002,8.3,,,18,,,,,,,,,,,,,,,,
2020,2003,7.7,,,17,,,,,,,,,,,,,,,,
2020,2004,4.8,,,16,,,,,,,,,,,,,,,,
2020,2005,5.4,,,15,,,,,,,,,,,,,,,,
2020,2006,4.2,,,14,,,,,,,,,,,,,,,,
2020,2007,8.2,,,13,,,,,,,,,,,,,,,,
2020,2008,3.6,,,12,,,,,,,,,,,,,,,,
2020,2009,3.5,,,11,,,,,,,,,,,,,,,,
2020,2010,6.4,,,10,,,,,,,,,,,,,,,,
2020,2011,2.1,,,9,,,,,,,,,,,,,,,,
2020,2012,2.3,,,8,,,,,,,,,,,,,,,,
2020,2013,4.3,,,7,,,,,,,,,,,,,,,,
2020,2014,0.2,,,6,,,,,,,,,,,,,,,,
2020,2015,0.5,,,5,,,,,,,,,,,,,,,,
2020,2016,0.2,,,4,,,,,,,,,,,,,,,,
2020,2017,0,,,3,,,,,,,,,,,,,,,,
2020,2018,-1,,,2,,,,,,,,,,,,,,,,
2020,2019,1.4,,,1,,,,,,,,,,,,,,,,
2021,2000,13.1,,,21,,,,,,,,,,,,,,,,
2021,2001,14.3,,,20,,,,,,,,,,,,,,,,
2021,2002,11.4,,,19,,,,,,,,,,,,,,,,
2021,2003,10.8,,,18,,,,,,,,,,,,,,,,
2021,2004,7.9,,,17,,,,,,,,,,,,,,,,
2021,2005,8.5,,,16,,,,,,,,,,,,,,,,
2021,2006,7.3,,,15,,,,,,,,,,,,,,,,
2021,2007,11.3,,,14,,,,,,,,,,,,,,,,
2021,2008,6.7,,,13,,,,,,,,,,,,,,,,
2021,2009,6.6,,,12,,,,,,,,,,,,,,,,
2021,2010,9.5,,,11,,,,,,,,,,,,,,,,
2021,2011,5.2,,,10,,,,,,,,,,,,,,,,
2021,2012,5.4,,,9,,,,,,,,,,,,,,,,
2021,2013,7.4,,,8,,,,,,,,,,,,,,,,
2021,2014,3.3,,,7,,,,,,,,,,,,,,,,
2021,2015,3.6,,,6,,,,,,,,,,,,,,,,
2021,2016,3.3,,,5,,,,,,,,,,,,,,,,
2021,2017,3.1,,,4,,,,,,,,,,,,,,,,
2021,2018,2.1,,,3,,,,,,,,,,,,,,,,
2021,2019,4.5,,,2,,,,,,,,,,,,,,,,
2021,2020,3.1,,,1,,,,,,,,,,,,,,,,
